agency	date	cost
Virginia Commonwealth University	2014-11-09	3168.942
Virginia Commonwealth University	2006-01-21	232223.346
Virginia Commonwealth University	2010-09-15	1937746.19
Virginia Commonwealth University	2010-04-04	9100
Virginia Commonwealth University	2013-07-22	275803.06
Virginia Commonwealth University	2006-08-11	741856.891
Virginia Commonwealth University	2006-02-07	273377.05
Virginia Commonwealth University	2012-02-18	324.14
Virginia Commonwealth University	2007-08-08	265503.842
Virginia Commonwealth University	2013-08-02	355500.9
Virginia Commonwealth University	2008-05-05	660579.08
Virginia Commonwealth University	2008-08-13	104394.93
Virginia Commonwealth University	2013-03-30	34.83
Virginia Commonwealth University	2010-05-03	207563.203
Virginia Commonwealth University	2009-01-05	164203.49
Virginia Commonwealth University	2010-09-08	252378.0634
Virginia Commonwealth University	2012-09-23	50756.569
Virginia Commonwealth University	2014-08-20	1320972.42
Virginia Commonwealth University	2011-03-07	28201.42
Virginia Commonwealth University	2012-07-31	917507.59
Virginia Commonwealth University	2013-12-06	281358.94
Virginia Commonwealth University	2012-09-24	311553.792
Virginia Commonwealth University	2012-03-11	28377.214
Virginia Commonwealth University	2010-02-12	984526.84
Virginia Commonwealth University	2015-03-12	610545.384
Virginia Commonwealth University	2009-06-22	813778.96
Virginia Commonwealth University	2010-06-13	36031.14
Virginia Commonwealth University	2011-09-25	7397.5218
Virginia Commonwealth University	2014-01-12	7907.273
Virginia Commonwealth University	2009-11-16	211663.364
Virginia Commonwealth University	2009-04-29	471389.116
Virginia Commonwealth University	2010-09-26	64959.082
Virginia Commonwealth University	2013-05-19	7786.775
Virginia Commonwealth University	2014-08-23	1158.19
Virginia Commonwealth University	2010-08-14	5120.81
Virginia Commonwealth University	2007-03-24	14332.3
Virginia Commonwealth University	2015-04-07	639502.4936
Virginia Commonwealth University	2007-11-04	6234.29
Virginia Commonwealth University	2014-01-29	1819778.3241
Virginia Commonwealth University	2008-09-28	315.01
Virginia Commonwealth University	2014-10-13	293656.081
Virginia Commonwealth University	2011-06-12	196406.695
Virginia Commonwealth University	2015-01-27	574972.12
Virginia Commonwealth University	2010-03-21	2875.546
Virginia Commonwealth University	2012-06-26	343612.92
Virginia Commonwealth University	2014-11-04	276945.13
Virginia Commonwealth University	2013-08-12	154451.28
Virginia Commonwealth University	2007-03-02	412605.642
Virginia Commonwealth University	2013-09-08	1025.449
Virginia Commonwealth University	2005-09-09	145573.935
Virginia Commonwealth University	2009-09-15	211638.8546
Virginia Commonwealth University	2009-11-04	455576.245
Virginia Commonwealth University	2011-10-11	450546.0901
Virginia Commonwealth University	2008-01-22	219536.598
Virginia Commonwealth University	2014-09-30	631209.93
Virginia Commonwealth University	2011-05-10	557080.4621
Virginia Commonwealth University	2012-07-14	1034.42
Virginia Commonwealth University	2007-10-08	370580.11
Virginia Commonwealth University	2008-06-16	342317.95
Virginia Commonwealth University	2008-10-21	191448.272
Virginia Commonwealth University	2011-01-17	13396.9091
Virginia Commonwealth University	2006-05-23	188778.669
Virginia Commonwealth University	2011-06-07	445524.5
Virginia Commonwealth University	2014-09-11	904116.305
Virginia Commonwealth University	2010-05-28	316931.432
Virginia Commonwealth University	2008-12-01	1098723.604
Virginia Commonwealth University	2005-01-11	16
Virginia Commonwealth University	2006-04-13	225980.145
Virginia Commonwealth University	2010-04-21	377518.57
Virginia Commonwealth University	2010-10-15	113130.4978
Virginia Commonwealth University	2008-05-16	1274704.06
Virginia Commonwealth University	2015-01-24	132.64
Virginia Commonwealth University	2014-10-20	786125.783
Virginia Commonwealth University	2005-11-15	286296.94
Virginia Commonwealth University	2013-04-17	988373.6814
Virginia Commonwealth University	2008-02-12	617726.7
Virginia Commonwealth University	2006-10-04	163248.45542
Virginia Commonwealth University	2011-07-06	352389.5803
Virginia Commonwealth University	2014-02-15	1791
Virginia Commonwealth University	2014-04-06	9475.603
Virginia Commonwealth University	2008-11-17	220832.1403
Virginia Commonwealth University	2012-09-19	880255.689
Virginia Commonwealth University	2009-02-02	281348.457
Virginia Commonwealth University	2006-05-04	257349.518
Virginia Commonwealth University	2007-05-01	232951.1328
Virginia Commonwealth University	2006-10-10	161372.2786
Virginia Commonwealth University	2014-01-05	24372.224
Virginia Commonwealth University	2012-08-05	4852.844
Virginia Commonwealth University	2010-04-24	736.49
Virginia Commonwealth University	2012-09-06	903531.18
Virginia Commonwealth University	2006-01-31	240413.403
Virginia Commonwealth University	2011-06-06	397391.292
Virginia Commonwealth University	2007-01-19	166487.1665
Virginia Commonwealth University	2012-01-18	202802.68
Virginia Commonwealth University	2005-11-16	1649371.29
Virginia Commonwealth University	2006-03-21	150750.64
Virginia Commonwealth University	2009-03-15	19730.389
Virginia Commonwealth University	2008-03-12	186168.846
Virginia Commonwealth University	2014-01-17	703129.25
Virginia Commonwealth University	2010-02-09	550126.68
Virginia Commonwealth University	2014-02-04	625855.728
Virginia Commonwealth University	2011-09-14	355408.934
Virginia Commonwealth University	2009-01-27	1830123.37
Virginia Commonwealth University	2014-09-08	330748.66
Virginia Commonwealth University	2011-02-24	474426.159
Virginia Commonwealth University	2009-10-19	124175.34
Virginia Commonwealth University	2012-03-18	17212.5616
Virginia Commonwealth University	2009-08-24	255891.584
Virginia Commonwealth University	2008-08-03	4348
Virginia Commonwealth University	2014-03-04	380957.4853
Virginia Commonwealth University	2007-03-15	684606.02
Virginia Commonwealth University	2010-06-29	4912307.113
Virginia Commonwealth University	2014-06-27	26987756.62
Virginia Commonwealth University	2013-07-09	3809487.774
Virginia Commonwealth University	2011-07-18	229227.65
Virginia Commonwealth University	2007-04-23	360581.37
Virginia Commonwealth University	2008-02-05	369477.4
Virginia Commonwealth University	2013-08-31	224.07
Virginia Commonwealth University	2007-02-11	8757.76
Virginia Commonwealth University	2009-07-27	2644166.67
Virginia Commonwealth University	2013-09-18	626734.99
Virginia Commonwealth University	2009-10-27	217997.2455
Virginia Commonwealth University	2013-12-16	1023462.03
Virginia Commonwealth University	2014-10-31	169140.6
Virginia Commonwealth University	2013-01-15	919810.082
Virginia Commonwealth University	2014-04-13	18832.095
Virginia Commonwealth University	2008-02-11	860859.38
Virginia Commonwealth University	2011-09-26	269456.579
Virginia Commonwealth University	2008-09-18	470680.08
Virginia Commonwealth University	2012-06-15	1000909.26
Virginia Commonwealth University	2006-11-20	253998.69
Virginia Commonwealth University	2008-09-23	35786013.93
Virginia Commonwealth University	2013-10-16	626584.38
Virginia Commonwealth University	2008-11-13	477490.1976
Virginia Commonwealth University	2008-08-09	450
Virginia Commonwealth University	2014-07-07	3715998.97
Virginia Commonwealth University	2011-08-04	246625.13
Virginia Commonwealth University	2006-07-28	346348.37
